Date,Close,등락률,PER,PBR,회전율,환율,코스피,나스닥
2022-08-08,96300,-2.23,6.88,1.07,0.0044,1302.739990234375,2493.1,-0.1
2022-08-09,95100,-1.25,6.80,1.05,0.0043,1299.030029296875,2503.46,-1.19
2022-08-10,91800,-3.47,6.56,1.02,0.006,1307.56005859375,2480.88,2.89
2022-08-11,93300,1.63,6.67,1.03,0.0072,1296.699951171875,2523.78,-0.58
2022-08-12,93300,0.0,6.67,1.03,0.0026,1306.8299560546875,2527.94,2.09
2022-08-16,96700,3.64,6.91,1.07,0.0059,1313.1800537109375,2533.52,-0.19
2022-08-17,97100,0.41,6.94,1.07,0.0024,1311.0,2516.47,-1.25
2022-08-18,95700,-1.44,6.84,1.06,0.0026,1314.8299560546875,2508.05,0.21
2022-08-19,96400,0.73,6.89,1.07,0.0026,1326.9100341796875,2492.69,-2.01
2022-08-22,95200,-1.24,6.81,1.05,0.0032,1334.8599853515625,2462.5,-2.55
2022-08-23,93600,-1.68,6.69,1.04,0.0027,1343.3599853515625,2435.34,-0.0
2022-08-24,93200,-0.43,6.66,1.03,0.002,1339.0799560546875,2447.45,0.41
2022-08-25,94100,0.97,6.73,1.04,0.003,1340.0,2477.26,1.67
2022-08-26,95100,1.06,6.80,1.05,0.0032,1334.43994140625,2481.03,-3.94
2022-08-29,92500,-2.73,6.61,1.02,0.0036,1341.1800537109375,2426.89,-1.02
2022-08-30,93200,0.76,6.66,1.03,0.0022,1345.72998046875,2450.93,-1.12
2022-08-31,95200,2.15,6.81,1.05,0.0033,1350.18994140625,2472.05,-0.56
2022-09-01,92400,-2.94,6.61,1.02,0.0032,1342.260009765625,2415.61,-0.26
2022-09-02,91700,-0.76,6.56,1.01,0.0028,1355.0999755859375,2409.41,-1.31
2022-09-06,91800,0.77,6.56,1.02,0.0019,1361.81005859375,2410.02,-0.74
2022-09-07,90400,-1.53,6.46,1.0,0.0028,1378.1099853515625,2376.46,2.14
2022-09-08,90400,0.0,6.46,1.0,0.0028,1374.31005859375,2384.28,0.6
2022-09-13,94800,4.87,6.78,1.05,0.0045,1375.81005859375,2449.54,-5.16
2022-09-14,93000,-1.9,6.65,1.03,0.0034,1393.469970703125,2411.42,0.74
2022-09-15,92000,-1.08,6.58,1.02,0.0024,1391.1800537109375,2401.83,-1.43
2022-09-16,91200,-0.87,6.52,1.01,0.0031,1398.6300048828125,2382.78,-0.9
2022-09-19,90000,-1.32,6.43,1.0,0.0029,1385.22998046875,2355.66,0.76
2022-09-20,88000,-2.22,6.29,0.97,0.0059,1390.1099853515625,2367.85,-0.95
2022-09-21,88000,0.0,6.29,0.97,0.0041,1392.510009765625,2347.21,-1.79
2022-09-22,86000,-2.27,6.15,0.95,0.003,1397.56005859375,2332.31,-1.37
2022-09-23,83500,-2.91,5.97,0.92,0.0054,1403.6600341796875,2290.0,-1.8
2022-09-26,82500,-1.2,5.90,0.91,0.0045,1421.81005859375,2220.94,-0.6
2022-09-27,82000,-0.61,5.86,0.91,0.0036,1429.77001953125,2223.86,0.25
2022-09-28,81200,-0.98,5.80,0.9,0.0042,1426.260009765625,2169.29,2.05
2022-09-29,80800,-0.49,5.78,0.89,0.0028,1421.949951171875,2170.93,-2.84
2022-09-30,83100,2.85,5.94,0.92,0.0065,1430.1700439453125,2155.49,-1.51
2022-10-04,86200,3.73,6.16,0.95,0.0059,1433.3399658203125,2209.38,3.34
2022-10-05,89800,4.18,6.42,0.99,0.0081,1416.530029296875,2215.22,-0.25
2022-10-06,89900,0.11,6.43,0.99,0.0042,1416.760009765625,2237.86,-0.68
2022-10-07,91200,1.45,6.52,1.01,0.0043,1408.449951171875,2232.84,-3.8
2022-10-11,90200,-1.1,6.45,1.0,0.0053,1428.3499755859375,2192.07,-1.1
2022-10-12,94000,4.21,6.72,1.04,0.0064,1430.800048828125,2202.47,-0.09
2022-10-13,94900,0.96,6.78,1.05,0.006,1423.9000244140625,2162.87,2.23
2022-10-14,95500,0.63,6.83,1.06,0.0048,1430.300048828125,2212.55,-3.08
2022-10-17,95200,-0.31,6.81,1.05,0.0029,1440.760009765625,2219.71,3.43
2022-10-18,95800,0.63,6.85,1.06,0.0036,1430.1500244140625,2249.95,0.9
